
============================================================
ARM K0
============================================================
  step 2250/2500 loss=0.023 acc=0.991 ref=0.979 lit=1.000 read_sup=0.000 | ref_ema=0.969
  step 2300/2500 loss=0.011 acc=0.996 ref=0.994 lit=0.998 read_sup=0.000 | ref_ema=0.983
  step 2350/2500 loss=0.012 acc=0.997 ref=0.997 lit=0.998 read_sup=0.000 | ref_ema=0.992
  step 2400/2500 loss=0.006 acc=0.999 ref=1.000 lit=0.998 read_sup=0.000 | ref_ema=0.992
  step 2450/2500 loss=0.009 acc=0.996 ref=0.994 lit=0.998 read_sup=0.000 | ref_ema=0.996
  step 2500/2500 loss=0.003 acc=0.999 ref=1.000 lit=0.998 read_sup=0.000 | ref_ema=0.996
[arm K1] lit_acc=0.999 ref_acc=0.998 (chance 0.10) delay={1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0}
    layer γ=0.0: Δ1:0.10, Δ2:0.13, Δ3:0.14, Δ4:0.08
    layer γ=0.7: Δ1:0.67, Δ2:0.12, Δ3:0.09, Δ4:0.06
    layer γ=0.95: Δ1:0.30, Δ2:0.16, Δ3:0.20, Δ4:0.14
    layer γ=0.99: Δ1:0.37, Δ2:0.25, Δ3:0.15, Δ4:0.08

============================================================
ARM K2
============================================================
[arm K2] trainable=401,560 device=cuda decays=[0.0, 0.7, 0.95, 0.99] read=ON | session
  step   50/2500 loss=2.888 acc=0.096 ref=0.102 lit=0.092 read_sup=1.152 | ref_ema=0.095
  step  100/2500 loss=2.786 acc=0.121 ref=0.131 lit=0.114 read_sup=0.972 | ref_ema=0.111
  step  150/2500 loss=2.444 acc=0.086 ref=0.086 lit=0.086 read_sup=0.280 | ref_ema=0.107
  step  200/2500 loss=2.313 acc=0.102 ref=0.097 lit=0.105 read_sup=0.023 | ref_ema=0.109
  step  250/2500 loss=2.302 acc=0.096 ref=0.102 lit=0.092 read_sup=0.003 | ref_ema=0.110
  step  300/2500 loss=2.290 acc=0.104 ref=0.111 lit=0.099 read_sup=0.003 | ref_ema=0.108
  step  350/2500 loss=2.294 acc=0.076 ref=0.094 lit=0.062 read_sup=0.003 | ref_ema=0.112
  step  400/2500 loss=2.298 acc=0.096 ref=0.100 lit=0.094 read_sup=0.010 | ref_ema=0.112
  step  450/2500 loss=2.295 acc=0.099 ref=0.108 lit=0.093 read_sup=0.002 | ref_ema=0.108
  step  500/2500 loss=2.299 acc=0.113 ref=0.125 lit=0.105 read_sup=0.005 | ref_ema=0.112
  step  550/2500 loss=2.287 acc=0.103 ref=0.091 lit=0.111 read_sup=0.002 | ref_ema=0.111
  step  600/2500 loss=2.279 acc=0.116 ref=0.123 lit=0.111 read_sup=0.005 | ref_ema=0.118
