
============================================================
ARM K0
============================================================

----- K0 seed 0 -----
  step  750/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step  800/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step  850/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step  900/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step  950/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1000/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1050/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1100/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1150/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1200/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1250/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1300/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1350/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1400/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1450/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1500/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
[arm K1] lit_acc=1.000 ref_acc=1.000 (chance 0.10) delay={1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0}
    layer γ=0.0: Δ1:0.14, Δ2:0.13, Δ3:0.05, Δ4:0.13, Δ5:0.12
    layer γ=0.7: Δ1:0.51, Δ2:0.20, Δ3:0.12, Δ4:0.23, Δ5:0.06
    layer γ=0.95: Δ1:0.44, Δ2:0.29, Δ3:0.07, Δ4:0.10, Δ5:0.12
    layer γ=0.99: Δ1:0.42, Δ2:0.62, Δ3:0.63, Δ4:0.31, Δ5:0.00

----- K1 seed 1 -----
[arm K1] trainable=401,560 device=cuda decays=[0.0, 0.7, 0.95, 0.99] read=ON | session
  step   50/1500 loss=0.351 acc=0.888 ref=0.729 lit=0.998 read_sup=0.000 | ref_ema=0.559
  step  100/1500 loss=0.200 acc=0.932 ref=0.836 lit=1.000 read_sup=0.000 | ref_ema=0.803
  step  150/1500 loss=0.113 acc=0.965 ref=0.917 lit=1.000 read_sup=0.000 | ref_ema=0.895
  step  200/1500 loss=0.021 acc=0.995 ref=0.987 lit=1.000 read_sup=0.000 | ref_ema=0.967
  step  250/1500 loss=0.006 acc=0.997 ref=0.994 lit=1.000 read_sup=0.000 | ref_ema=0.989
  step  300/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=0.998
  step  350/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step  400/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step  450/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step  500/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step  550/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step  600/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step  650/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step  700/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step  750/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step  800/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step  850/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step  900/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step  950/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1000/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1050/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1100/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1150/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1200/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1250/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1300/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step 1350/1500 loss=0.013 acc=0.995 ref=0.988 lit=1.000 read_sup=0.000 | ref_ema=0.998
  step 1400/1500 loss=0.001 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=0.984
  step 1450/1500 loss=0.005 acc=0.997 ref=0.994 lit=1.000 read_sup=0.000 | ref_ema=0.996
  step 1500/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
[arm K1] lit_acc=1.000 ref_acc=1.000 (chance 0.10) delay={1: 1.0, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0}
    layer γ=0.0: Δ1:0.09, Δ2:0.12, Δ3:0.06, Δ4:0.18, Δ5:0.19
    layer γ=0.7: Δ1:0.09, Δ2:0.13, Δ3:0.05, Δ4:0.06, Δ5:0.12
    layer γ=0.95: Δ1:0.64, Δ2:0.39, Δ3:0.32, Δ4:0.36, Δ5:0.38
    layer γ=0.99: Δ1:0.25, Δ2:0.28, Δ3:0.24, Δ4:0.33, Δ5:0.00

----- K1 seed 2 -----
[arm K1] trainable=401,560 device=cuda decays=[0.0, 0.7, 0.95, 0.99] read=ON | session
  step   50/1500 loss=0.403 acc=0.887 ref=0.706 lit=1.000 read_sup=0.000 | ref_ema=0.506
  step  100/1500 loss=0.187 acc=0.944 ref=0.869 lit=1.000 read_sup=0.000 | ref_ema=0.825
  step  150/1500 loss=0.084 acc=0.974 ref=0.936 lit=1.000 read_sup=0.000 | ref_ema=0.922
  step  200/1500 loss=0.047 acc=0.987 ref=0.970 lit=1.000 read_sup=0.000 | ref_ema=0.961
  step  250/1500 loss=0.008 acc=0.997 ref=0.994 lit=1.000 read_sup=0.000 | ref_ema=0.982
  step  300/1500 loss=0.003 acc=0.999 ref=0.997 lit=1.000 read_sup=0.000 | ref_ema=0.995
  step  350/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step  400/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
  step  450/1500 loss=0.000 acc=1.000 ref=1.000 lit=1.000 read_sup=0.000 | ref_ema=1.000
